Device_ID,IoMT_Type,Location,Data_Transferred_MB,Access_Time(ms),Auth_Method,Requests_Per_Minute,Data_Format,OS_Type,Alert_Level,Attack_Type
D0082,Implant,ICU,187.58,4157,Two-Factor,96,HL7,Android,Medium,Phishing
D0015,Monitor,Home,475.38,1391,Password,92,HL7,RTOS,Low,Phishing
D0004,Wearable,Clinic,366.13,3713,Biometric,81,JSON,Android,Low,None
D0095,Infusion Pump,Home,299.53,265,Biometric,95,FHIR,Windows,Low,None
D0036,Implant,Ward,78.43,388,Two-Factor,8,JSON,Windows,Medium,Phishing
D0032,Monitor,ER,78.42,4112,Biometric,25,HL7,RTOS,Critical,DoS Attack
D0029,Wearable,ER,29.51,2758,Biometric,73,HL7,Android,Critical,Malware Injection
D0018,Wearable,Ward,433.15,3202,Token,66,HL7,Android,Medium,Phishing
D0095,Infusion Pump,Ward,300.76,1800,Token,79,HL7,Linux,Low,None
D0014,Monitor,ICU,354.18,2471,Token,50,HL7,Linux,Medium,Malware Injection
D0087,Implant,ER,10.78,759,Two-Factor,67,HL7,Windows,Critical,DoS Attack
D0095,Sensor,ICU,484.97,3776,Biometric,49,XML,RTOS,Critical,Phishing
D0070,Wearable,Home,416.31,3692,Password,36,XML,Windows,Critical,None
D0012,Wearable,Ward,106.56,4043,Biometric,68,XML,RTOS,Medium,Phishing
D0076,Infusion Pump,ICU,91.32,538,Two-Factor,78,JSON,RTOS,Critical,DoS Attack
D0055,Monitor,Ward,92.11,96,Token,41,FHIR,RTOS,Critical,None
D0005,Sensor,ICU,152.47,3409,Two-Factor,89,HL7,RTOS,Critical,Malware Injection
D0004,Sensor,Home,262.62,4923,Token,62,XML,Android,Critical,Phishing
D0012,Sensor,Home,216.26,4856,Two-Factor,10,JSON,RTOS,High,Malware Injection
D0028,Monitor,Clinic,145.97,450,Password,21,FHIR,Android,Medium,Data Breach
D0030,Implant,ER,306.12,4040,Token,36,HL7,RTOS,Medium,DoS Attack
D0065,Wearable,Clinic,70.18,3207,Token,12,HL7,Android,Critical,Phishing
